meanfreq,sd,meanfun,minfun,maxfun,label
0.059780985,0.064241268,0.084279106,0.015701668,0.275862069,male
0.06600874,0.067310029,0.107936554,0.015825915,0.25,male
0.077315503,0.083829421,0.098706262,0.015655577,0.271186441,male
0.151228092,0.072110587,0.088964849,0.017797553,0.25,male
0.135120387,0.0791461,0.106397845,0.016931217,0.266666667,male
0.132786407,0.079556866,0.11013192,0.017112299,0.253968254,male
0.15076233,0.074463205,0.105944515,0.026229508,0.266666667,male
0.160514332,0.076766885,0.09305243,0.017758047,0.144144144,male
0.142239417,0.078018462,0.096728946,0.017957351,0.25,male
0.134328777,0.080350028,0.105880926,0.019300362,0.262295082,male
0.157020511,0.071942931,0.088893983,0.022068966,0.117647059,male
0.138550521,0.077053993,0.104199319,0.019138756,0.262295082,male
0.137342742,0.080876707,0.092644019,0.016789087,0.213333333,male
0.181225459,0.060042055,0.131503722,0.025,0.275862069,male
0.183115281,0.06698235,0.102798695,0.020833333,0.275862069,male
0.174272105,0.069411045,0.102045991,0.018327606,0.246153846,male
0.190846298,0.065790282,0.113322801,0.01754386,0.275862069,male
0.171246971,0.07487157,0.079718312,0.015670911,0.262295082,male
0.168345946,0.074120817,0.083484022,0.015717092,0.231884058,male
0.173631376,0.073351512,0.090129539,0.015701668,0.210526316,male
0.172754287,0.076902583,0.093573513,0.015763547,0.2,male
0.181015394,0.074369304,0.09864341,0.016145308,0.275862069,male
0.163535853,0.072448898,0.062541644,0.015686275,0.197530864,male
0.170212798,0.075104946,0.077698415,0.015701668,0.192771084,male
0.160422477,0.076614764,0.098944146,0.016096579,0.275862069,male
0.164699838,0.075361772,0.082962611,0.015640274,0.253968254,male
0.169578801,0.075634514,0.082451321,0.01621074,0.271186441,male
0.169021004,0.071778152,0.130598328,0.015841584,0.225352113,male
0.167340239,0.07284123,0.120052184,0.016243655,0.262295082,male
0.180527821,0.070866998,0.126607441,0.017039404,0.177777778,male
0.153039048,0.07403113,0.067407499,0.016260163,0.205128205,male
0.166659499,0.075961168,0.127719891,0.017278618,0.275862069,male
0.175659429,0.071651533,0.132726096,0.016563147,0.228571429,male
0.174825733,0.071532831,0.124684802,0.016753927,0.25,male
0.174064614,0.073121844,0.124533186,0.016343207,0.231884058,male
0.159530491,0.075273104,0.120254421,0.018411968,0.168421053,male
0.167648361,0.067219927,0.142748251,0.016614746,0.262295082,male
0.172436386,0.071504543,0.138903871,0.121212121,0.172043011,male
0.162981116,0.065952332,0.131376326,0.016771488,0.181818182,male
0.170209848,0.072023008,0.127529186,0.016161616,0.25,male
0.171400807,0.068428139,0.141183375,0.015841584,0.262295082,male
0.146886154,0.068160816,0.081563761,0.015936255,0.242424242,male
0.166763785,0.064488516,0.101681481,0.015640274,0.253968254,male
0.153691861,0.066495859,0.095597118,0.015920398,0.242424242,male
0.168011339,0.068873401,0.101718928,0.016,0.262295082,male
0.148281383,0.068117184,0.097531607,0.015810277,0.275862069,male
0.158595955,0.066216652,0.080459827,0.016064257,0.266666667,male
0.163643182,0.070030717,0.055565349,0.016276704,0.213333333,male
0.158656925,0.067564057,0.101394916,0.015779093,0.275862069,male
0.13789282,0.072420663,0.076307418,0.01621074,0.128,male
0.142715585,0.074163591,0.098872557,0.018735363,0.207792208,male
0.135052914,0.072095147,0.090751058,0.017241379,0.2,male
0.14146076,0.072861395,0.10139476,0.021798365,0.235294118,male
0.141280115,0.074404048,0.109319559,0.026711185,0.228571429,male
0.153851203,0.072191575,0.11225641,0.024729521,0.275862069,male
0.145640705,0.077006409,0.103669506,0.015670911,0.275862069,male
0.144858407,0.076591817,0.10324956,0.021276596,0.266666667,male
0.121683363,0.086850112,0.130887525,0.020356234,0.271186441,male
0.135649932,0.086412331,0.134314213,0.060836502,0.25,male
0.100399417,0.07283457,0.117359321,0.015936255,0.262295082,male
0.125087547,0.080116695,0.114742726,0.024390244,0.271186441,male
0.143486162,0.070275487,0.120815369,0.033333333,0.266666667,male
0.14319683,0.085447388,0.110260303,0.02725724,0.262295082,male
0.145532381,0.087864043,0.103803137,0.015686275,0.275862069,male
0.162065429,0.084432291,0.117022269,0.016528926,0.25,male
0.142961233,0.083106899,0.131733573,0.054054054,0.25,male
0.141153447,0.080922189,0.117297836,0.018867925,0.258064516,male
0.167334035,0.047177727,0.141810406,0.016032064,0.253968254,male
0.167850312,0.052593589,0.121546254,0.015952144,0.262295082,male
0.185098439,0.054289442,0.130983328,0.016161616,0.266666667,male
0.167761538,0.05888337,0.132089064,0.018539977,0.253968254,male
0.171093502,0.061286735,0.132075365,0.026186579,0.202531646,male
0.167083054,0.064425673,0.102626438,0.020833333,0.25,male
0.200830145,0.053066217,0.165155381,0.015763547,0.271186441,male
0.137095643,0.066633153,0.081164739,0.016666667,0.262295082,male
0.190324563,0.051695724,0.152012545,0.021136063,0.246153846,male
0.187139453,0.056499407,0.138197601,0.016684046,0.231884058,male
0.184354869,0.055493941,0.13371745,0.018518519,0.266666667,male
0.200041812,0.055815131,0.159106931,0.020100503,0.266666667,male
0.175681868,0.055524094,0.149386704,0.019900498,0.253968254,male
0.184850897,0.062446727,0.139378258,0.02507837,0.275862069,male
0.182630135,0.048974549,0.147350977,0.019900498,0.262295082,male
0.196463262,0.057606383,0.168037876,0.01814059,0.275862069,male
0.191310915,0.057122814,0.080595084,0.015717092,0.225352113,male
0.19600602,0.053930062,0.081017495,0.015810277,0.195121951,male
0.191461682,0.05186218,0.065827449,0.016243655,0.210526316,male
0.193769347,0.058334877,0.078362852,0.015732547,0.253968254,male
0.194920925,0.056284804,0.06347518,0.015670911,0.219178082,male
0.193808189,0.054969105,0.083127893,0.016260163,0.25,male
0.193588997,0.052350651,0.081504732,0.016145308,0.262295082,male
0.198295356,0.054554303,0.112022748,0.017679558,0.275862069,male
0.198778046,0.05675451,0.072135733,0.017897092,0.150943396,male
0.206312235,0.054641792,0.073051326,0.015794669,0.197530864,male
0.117777703,0.079527567,0.091146586,0.015640274,0.275862069,male
0.105782027,0.081246862,0.087918173,0.016129032,0.266666667,male
0.107009364,0.081312548,0.075906856,0.016,0.222222222,male
0.119006303,0.083082514,0.092960948,0.016359918,0.175824176,male
0.082525588,0.080917867,0.087384208,0.015810277,0.271186441,male
0.130673638,0.082881544,0.090380442,0.016614746,0.23880597,male
0.096725277,0.083799544,0.100796329,0.016393443,0.271186441,male
0.119976656,0.081470648,0.081201173,0.015794669,0.262295082,male
0.106860842,0.086955451,0.094922696,0.015794669,0.262295082,male
0.100905502,0.080507739,0.081574582,0.01760176,0.275862069,male
0.169505759,0.066930404,0.110565779,0.017410229,0.266666667,male
0.163313106,0.064859684,0.10184148,0.015655577,0.266666667,male
0.160925335,0.068626553,0.097513464,0.019900498,0.271186441,male
0.164859947,0.067179041,0.126955523,0.016494845,0.275862069,male
0.177427698,0.067854979,0.111031616,0.017660044,0.16,male
0.176685284,0.058485963,0.128124206,0.017075774,0.266666667,male
0.179028926,0.065368498,0.125992936,0.026666667,0.181818182,male
0.166353449,0.062439847,0.113943951,0.017429194,0.156862745,male
0.173756783,0.065038729,0.110460819,0.01843318,0.262295082,male
0.168023268,0.063307437,0.111528406,0.016194332,0.246153846,male
0.169352533,0.068167747,0.111090258,0.023255814,0.181818182,male
0.130410979,0.093199206,0.107764608,0.01871345,0.170212766,male
0.116779075,0.085695072,0.100032404,0.016684046,0.186046512,male
0.10716189,0.08495081,0.132118679,0.015810277,0.266666667,male
0.131099727,0.078964943,0.093611219,0.02,0.186046512,male
0.126194803,0.084571297,0.104771576,0.02,0.183908046,male
0.107129883,0.084279163,0.10776458,0.017957351,0.253968254,male
0.164801332,0.070558618,0.086093777,0.016343207,0.271186441,male
0.174842857,0.066636271,0.072395615,0.016293279,0.25,male
0.164958845,0.073334801,0.082758199,0.019900498,0.266666667,male
0.162515085,0.076269221,0.057045239,0.018454441,0.225352113,male
0.1723464,0.072829239,0.075929274,0.016326531,0.231884058,male
0.167705128,0.070774462,0.081219208,0.015888779,0.271186441,male
0.16862254,0.069783277,0.081858264,0.016177958,0.271186441,male
0.166402126,0.076585194,0.060965707,0.016227181,0.258064516,male
0.169081838,0.070911707,0.075177599,0.016326531,0.271186441,male
0.160199487,0.070317494,0.074280664,0.015968064,0.271186441,male
0.200814728,0.053800182,0.116122398,0.018669778,0.266666667,male
0.208676975,0.05269832,0.115129092,0.022130014,0.25,male
0.214956445,0.053447128,0.124133328,0.027027027,0.271186441,male
0.211484996,0.053870578,0.123413774,0.023916293,0.231884058,male
0.20692432,0.053096175,0.130055059,0.031683168,0.2,male
0.107825211,0.080407475,0.102113993,0.01891253,0.266666667,male
0.115866233,0.081730356,0.103532714,0.018691589,0.246153846,male
0.113203353,0.077958396,0.094652835,0.018979834,0.262295082,male
